name,image_url,url,review_count,categories,rating,coordinates,price,phone,address
TP TEA,https://s3-media3.fl.yelpcdn.com/bphoto/9TIORIcLL0sbWLEVmw_5OQ/o.jpg,https://www.yelp.com/biz/tp-tea-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,127,bubbletea,4,"37.56343699424468,-122.32380882944777",,16505131754,"['65 E 4th Ave', 'San Mateo, CA 94401']"
Heere Tea,https://s3-media4.fl.yelpcdn.com/bphoto/S3y6Y00V3kQCpZ0ijuWkoQ/o.jpg,https://www.yelp.com/biz/heere-tea-san-mateo-5?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,35,"desserts,bubbletea",4,"37.565893,-122.32242",$$,,"['253 S B St', 'San Mateo, CA 94401']"
Urban Ritual,https://s3-media2.fl.yelpcdn.com/bphoto/SVUrNaF_qkeje-C7hWi1xQ/o.jpg,https://www.yelp.com/biz/urban-ritual-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,509,bubbletea,4,"37.566537,-122.323725",,16504583298,"['140 South B St', 'San Mateo, CA 94401']"
Tpumps,https://s3-media2.fl.yelpcdn.com/bphoto/NWjaVX1sqzO-xu6nNuCJbw/o.jpg,https://www.yelp.com/biz/tpumps-foster-city?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,342,"bubbletea,juicebars,tea",4,"37.5573531403401,-122.274742340384",$,15103988499,"['985 E Hillsdale Blvd', 'Metro Center Plz', 'Foster City, CA 94404']"
Mints & Honey,https://s3-media2.fl.yelpcdn.com/bphoto/KTgbzdjWPLxyI4_1En4B8w/o.jpg,https://www.yelp.com/biz/mints-and-honey-san-carlos-4?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,783,"venues,coffee,breakfast_brunch",4.5,"37.49613,-122.2477",$$,16508087786,"['1524 El Camino Real', 'San Carlos, CA 94070']"
Mr. Green Bubble,https://s3-media2.fl.yelpcdn.com/bphoto/mvByZ_qfFl7ENhJSxtVIoQ/o.jpg,https://www.yelp.com/biz/mr-green-bubble-san-mateo?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,62,"taiwanese,bubbletea,juicebars",3.5,"37.54470507323991,-122.28481421138929",$$,16503580352,"['2986 S Norfolk St', 'San Mateo, CA 94403']"
Sunright Tea Studio,https://s3-media2.fl.yelpcdn.com/bphoto/OZzFqY2aiFlSetvh7xm6Dg/o.jpg,https://www.yelp.com/biz/sunright-tea-studio-burlingame?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,29,bubbletea,4.5,"37.580086,-122.346675",,16504372959,"['346 Lorton Ave', 'Burlingame, CA 94010']"
Boba Guys,https://s3-media3.fl.yelpcdn.com/bphoto/eWCzcJhel_t6S9BWnoA6Aw/o.jpg,https://www.yelp.com/biz/boba-guys-san-carlos-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,642,bubbletea,4,"37.5027402543983,-122.256980158539",$$,14159672622,"['872 Laurel St', 'San Carlos, CA 94070']"
RareTea,https://s3-media2.fl.yelpcdn.com/bphoto/sLSah_xz7k-GEZJu5p8sgQ/o.jpg,https://www.yelp.com/biz/raretea-san-mateo-2?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,122,bubbletea,4.5,"37.53380083,-122.32729233",,16503896625,"['1330 W Hillsdale Blvd', 'San Mateo, CA 94403']"
Tong Sui,https://s3-media1.fl.yelpcdn.com/bphoto/Tx_lFmZ5NMc9clAdCmRDMw/o.jpg,https://www.yelp.com/biz/tong-sui-redwood-city?adjust_creative=nwuSph_JmnYJk-BDAcIviA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nwuSph_JmnYJk-BDAcIviA,53,"desserts,bubbletea",4.5,"37.4867,-122.23148",,16503623313,"['2400 Broadway', 'Unit 110', 'Redwood City, CA 94063']"
